Trade #,Type,Signal,Date/Time,Price THB,Contracts,Profit THB,Profit %,Cum. Profit THB,Cum. Profit %,Run-up THB,Run-up %,Drawdown THB,Drawdown %
729,Entry Short,MomSE,2023-07-12 15:30,912.0,1,-886.20,-0.49,-120819.80,-0.1,116.90,0.06,1123.10,0.62
728,Exit Long,MomSE,2023-07-12 15:30,912.0,1,-1286.20,-0.7,-119933.60,-0.15,556.90,0.3,1243.10,0.68
728,Entry Long,MomLE,2023-07-12 10:45,918.0,1,-1286.20,-0.7,-119933.60,-0.15,556.90,0.3,1243.10,0.68
727,Exit Short,MomLE,2023-07-12 10:45,918.0,1,-786.20,-0.43,-118647.40,-0.09,136.90,0.07,743.10,0.41
727,Entry Short,MomSE,2023-07-12 10:15,914.5,1,-786.20,-0.43,-118647.40,-0.09,136.90,0.07,743.10,0.41
726,Exit Long,MomSE,2023-07-12 10:15,914.5,1,-346.20,-0.19,-117861.20,-0.04,796.90,0.43,303.10,0.17
726,Entry Long,MomLE,2023-07-11 16:45,915.8,1,-346.20,-0.19,-117861.20,-0.04,796.90,0.43,303.10,0.17
725,Exit Short,MomLE,2023-07-11 16:45,915.8,1,-846.20,-0.46,-117515.00,-0.1,156.90,0.09,803.10,0.44
725,Entry Short,MomSE,2023-07-11 15:45,912.0,1,-846.20,-0.46,-117515.00,-0.1,156.90,0.09,803.10,0.44
724,Exit Long,MomSE,2023-07-11 15:45,912.0,1,693.80,0.38,-116668.80,0.08,2076.90,1.14,1163.10,0.64
724,Entry Long,MomLE,2023-07-10 09:45,908.1,1,693.80,0.38,-116668.80,0.08,2076.90,1.14,1163.10,0.64
723,Exit Short,MomLE,2023-07-10 09:45,908.1,1,-506.20,-0.28,-117362.60,-0.06,0,0,623.10,0.34
723,Entry Short,MomSE,2023-07-07 14:15,906.0,1,-506.20,-0.28,-117362.60,-0.06,0,0,623.10,0.34
722,Exit Long,MomSE,2023-07-07 14:15,906.0,1,-686.20,-0.38,-116856.40,-0.08,256.90,0.14,643.10,0.35
722,Entry Long,MomLE,2023-07-07 11:00,909.0,1,-686.20,-0.38,-116856.40,-0.08,256.90,0.14,643.10,0.35
721,Exit Short,MomLE,2023-07-07 11:00,909.0,1,2393.80,1.3,-116170.20,0.27,4956.90,2.69,0,0
721,Entry Short,MomSE,2023-07-05 15:30,921.4,1,2393.80,1.3,-116170.20,0.27,4956.90,2.69,0,0
720,Exit Long,MomSE,2023-07-05 15:30,921.4,1,-506.20,-0.27,-118564.00,-0.06,56.90,0.03,463.10,0.25
720,Entry Long,MomLE,2023-07-05 14:45,923.5,1,-506.20,-0.27,-118564.00,-0.06,56.90,0.03,463.10,0.25
719,Exit Short,MomLE,2023-07-05 14:45,923.5,1,-846.20,-0.46,-118057.80,-0.1,196.90,0.11,803.10,0.44
719,Entry Short,MomSE,2023-07-05 10:15,919.7,1,-846.20,-0.46,-118057.80,-0.1,196.90,0.11,803.10,0.44
718,Exit Long,MomSE,2023-07-05 10:15,919.7,1,773.80,0.42,-117211.60,0.09,2056.90,1.12,423.10,0.23
718,Entry Long,MomLE,2023-07-04 10:45,915.4,1,773.80,0.42,-117211.60,0.09,2056.90,1.12,423.10,0.23
717,Exit Short,MomLE,2023-07-04 10:45,915.4,1,-686.20,-0.38,-117985.40,-0.08,0,0,743.10,0.41
717,Entry Short,MomSE,2023-07-04 10:00,912.4,1,-686.20,-0.38,-117985.40,-0.08,0,0,743.10,0.41
716,Exit Long,MomSE,2023-07-04 10:00,912.4,1,-366.20,-0.2,-117299.20,-0.04,556.90,0.3,363.10,0.2
716,Entry Long,MomLE,2023-07-03 15:00,913.8,1,-366.20,-0.2,-117299.20,-0.04,556.90,0.3,363.10,0.2
715,Exit Short,MomLE,2023-07-03 15:00,913.8,1,-106.20,-0.06,-116933.00,-0.01,416.90,0.23,63.10,0.03
715,Entry Short,MomSE,2023-07-03 14:30,913.7,1,-106.20,-0.06,-116933.00,-0.01,416.90,0.23,63.10,0.03
714,Exit Long,MomSE,2023-07-03 14:30,913.7,1,2173.80,1.2,-116826.80,0.25,2936.90,1.63,1123.10,0.62
714,Entry Long,MomLE,2023-06-29 12:15,902.4,1,2173.80,1.2,-116826.80,0.25,2936.90,1.63,1123.10,0.62
713,Exit Short,MomLE,2023-06-29 12:15,902.4,1,173.80,0.1,-119000.60,0.02,3076.90,1.7,303.10,0.17
713,Entry Short,MomSE,2023-06-28 14:45,903.7,1,173.80,0.1,-119000.60,0.02,3076.90,1.7,303.10,0.17
712,Exit Long,MomSE,2023-06-28 14:45,903.7,1,-106.20,-0.06,-119174.40,-0.01,556.90,0.31,63.10,0.03
712,Entry Long,MomLE,2023-06-28 12:00,903.8,1,-106.20,-0.06,-119174.40,-0.01,556.90,0.31,63.10,0.03
711,Exit Short,MomLE,2023-06-28 12:00,903.8,1,693.80,0.38,-119068.20,0.08,1576.90,0.87,343.10,0.19
711,Entry Short,MomSE,2023-06-27 15:15,907.7,1,693.80,0.38,-119068.20,0.08,1576.90,0.87,343.10,0.19
710,Exit Long,MomSE,2023-06-27 15:15,907.7,1,-1046.20,-0.57,-119762.00,-0.12,0,0,1003.10,0.55
710,Entry Long,MomLE,2023-06-27 14:30,912.5,1,-1046.20,-0.57,-119762.00,-0.12,0,0,1003.10,0.55
709,Exit Short,MomLE,2023-06-27 14:30,912.5,1,433.80,0.24,-118715.80,0.05,1896.90,1.04,523.10,0.29
709,Entry Short,MomSE,2023-06-26 09:45,915.1,1,433.80,0.24,-118715.80,0.05,1896.90,1.04,523.10,0.29
708,Exit Long,MomSE,2023-06-26 09:45,915.1,1,-486.20,-0.27,-119149.60,-0.06,716.90,0.39,443.10,0.24
708,Entry Long,MomLE,2023-06-23 14:45,917.1,1,-486.20,-0.27,-119149.60,-0.06,716.90,0.39,443.10,0.24
707,Exit Short,MomLE,2023-06-23 14:45,917.1,1,53.80,0.03,-118663.40,0.01,1616.90,0.88,383.10,0.21
707,Entry Short,MomSE,2023-06-22 16:15,917.8,1,53.80,0.03,-118663.40,0.01,1616.90,0.88,383.10,0.21
706,Exit Long,MomSE,2023-06-22 16:15,917.8,1,-1326.20,-0.72,-118717.20,-0.15,156.90,0.08,1283.10,0.69
706,Entry Long,MomLE,2023-06-22 15:15,924.0,1,-1326.20,-0.72,-118717.20,-0.15,156.90,0.08,1283.10,0.69
705,Exit Short,MomLE,2023-06-22 15:15,924.0,1,4033.80,2.13,-117391.00,0.46,5976.90,3.16,303.10,0.16
705,Entry Short,MomSE,2023-06-20 09:45,944.6,1,4033.80,2.13,-117391.00,0.46,5976.90,3.16,303.10,0.16
704,Exit Long,MomSE,2023-06-20 09:45,944.6,1,-1026.20,-0.54,-121424.80,-0.12,276.90,0.15,983.10,0.52
704,Entry Long,MomLE,2023-06-19 14:45,949.3,1,-1026.20,-0.54,-121424.80,-0.12,276.90,0.15,983.10,0.52
703,Exit Short,MomLE,2023-06-19 14:45,949.3,1,-526.20,-0.28,-120398.60,-0.06,0,0,483.10,0.25
703,Entry Short,MomSE,2023-06-19 12:15,947.1,1,-526.20,-0.28,-120398.60,-0.06,0,0,483.10,0.25
702,Exit Long,MomSE,2023-06-19 12:15,947.1,1,-206.20,-0.11,-119872.40,-0.02,196.90,0.1,363.10,0.19
702,Entry Long,MomLE,2023-06-19 11:00,947.7,1,-206.20,-0.11,-119872.40,-0.02,196.90,0.1,363.10,0.19
701,Exit Short,MomLE,2023-06-19 11:00,947.7,1,-166.20,-0.09,-119666.20,-0.02,1336.90,0.71,583.10,0.31
701,Entry Short,MomSE,2023-06-16 14:45,947.3,1,-166.20,-0.09,-119666.20,-0.02,1336.90,0.71,583.10,0.31
700,Exit Long,MomSE,2023-06-16 14:45,947.3,1,-6.20,0,-119500.00,0,1276.90,0.67,83.10,0.04
700,Entry Long,MomLE,2023-06-15 16:30,946.9,1,-6.20,0,-119500.00,0,1276.90,0.67,83.10,0.04
699,Exit Short,MomLE,2023-06-15 16:30,946.9,1,-226.20,-0.12,-119493.80,-0.03,36.90,0.02,183.10,0.1
699,Entry Short,MomSE,2023-06-15 16:15,946.2,1,-226.20,-0.12,-119493.80,-0.03,36.90,0.02,183.10,0.1
698,Exit Long,MomSE,2023-06-15 16:15,946.2,1,-486.20,-0.26,-119267.60,-0.06,296.90,0.16,443.10,0.23
698,Entry Long,MomLE,2023-06-15 14:45,948.2,1,-486.20,-0.26,-119267.60,-0.06,296.90,0.16,443.10,0.23
697,Exit Short,MomLE,2023-06-15 14:45,948.2,1,-606.20,-0.32,-118781.40,-0.07,0,0,563.10,0.3
697,Entry Short,MomSE,2023-06-15 14:30,945.6,1,-606.20,-0.32,-118781.40,-0.07,0,0,563.10,0.3
696,Exit Long,MomSE,2023-06-15 14:30,945.6,1,-586.20,-0.31,-118175.20,-0.07,116.90,0.06,743.10,0.39
696,Entry Long,MomLE,2023-06-15 10:00,948.1,1,-586.20,-0.31,-118175.20,-0.07,116.90,0.06,743.10,0.39
695,Exit Short,MomLE,2023-06-15 10:00,948.1,1,-306.20,-0.16,-117589.00,-0.03,736.90,0.39,263.10,0.14
695,Entry Short,MomSE,2023-06-14 15:00,947.0,1,-306.20,-0.16,-117589.00,-0.03,736.90,0.39,263.10,0.14
694,Exit Long,MomSE,2023-06-14 15:00,947.0,1,-86.20,-0.05,-117282.80,-0.01,356.90,0.19,283.10,0.15
694,Entry Long,MomLE,2023-06-14 11:30,947.0,1,-86.20,-0.05,-117282.80,-0.01,356.90,0.19,283.10,0.15
693,Exit Short,MomLE,2023-06-14 11:30,947.0,1,-626.20,-0.33,-117196.60,-0.07,156.90,0.08,583.10,0.31
693,Entry Short,MomSE,2023-06-14 10:45,944.3,1,-626.20,-0.33,-117196.60,-0.07,156.90,0.08,583.10,0.31
692,Exit Long,MomSE,2023-06-14 10:45,944.3,1,-626.20,-0.33,-116570.40,-0.07,456.90,0.24,583.10,0.31
692,Entry Long,MomLE,2023-06-14 10:00,947.0,1,-626.20,-0.33,-116570.40,-0.07,456.90,0.24,583.10,0.31
691,Exit Short,MomLE,2023-06-14 10:00,947.0,1,-366.20,-0.19,-115944.20,-0.04,236.90,0.13,323.10,0.17
691,Entry Short,MomSE,2023-06-13 16:15,945.6,1,-366.20,-0.19,-115944.20,-0.04,236.90,0.13,323.10,0.17
690,Exit Long,MomSE,2023-06-13 16:15,945.6,1,933.80,0.5,-115578.00,0.11,1396.90,0.74,483.10,0.26
690,Entry Long,MomLE,2023-06-13 09:45,940.5,1,933.80,0.5,-115578.00,0.11,1396.90,0.74,483.10,0.26
689,Exit Short,MomLE,2023-06-13 09:45,940.5,1,-626.20,-0.33,-116511.80,-0.07,0,0,583.10,0.31
689,Entry Short,MomSE,2023-06-12 15:30,937.8,1,-626.20,-0.33,-116511.80,-0.07,0,0,583.10,0.31
688,Exit Long,MomSE,2023-06-12 15:30,937.8,1,-346.20,-0.18,-115885.60,-0.04,0,0,303.10,0.16
688,Entry Long,MomLE,2023-06-12 14:45,939.1,1,-346.20,-0.18,-115885.60,-0.04,0,0,303.10,0.16
687,Exit Short,MomLE,2023-06-12 14:45,939.1,1,-266.20,-0.14,-115539.40,-0.03,576.90,0.31,1163.10,0.62
687,Entry Short,MomSE,2023-06-09 11:30,938.2,1,-266.20,-0.14,-115539.40,-0.03,576.90,0.31,1163.10,0.62
686,Exit Long,MomSE,2023-06-09 11:30,938.2,1,2733.80,1.48,-115273.20,0.31,3976.90,2.15,323.10,0.17
686,Entry Long,MomLE,2023-06-07 15:15,924.1,1,2733.80,1.48,-115273.20,0.31,3976.90,2.15,323.10,0.17
685,Exit Short,MomLE,2023-06-07 15:15,924.1,1,-306.20,-0.17,-118007.00,-0.03,996.90,0.54,403.10,0.22
685,Entry Short,MomSE,2023-06-06 12:00,923.0,1,-306.20,-0.17,-118007.00,-0.03,996.90,0.54,403.10,0.22
684,Exit Long,MomSE,2023-06-06 12:00,923.0,1,-266.20,-0.14,-117700.80,-0.03,0,0,223.10,0.12
684,Entry Long,MomLE,2023-06-06 11:45,923.9,1,-266.20,-0.14,-117700.80,-0.03,0,0,223.10,0.12
683,Exit Short,MomLE,2023-06-06 11:45,923.9,1,-446.20,-0.24,-117434.60,-0.05,96.90,0.05,403.10,0.22
683,Entry Short,MomSE,2023-06-06 11:00,922.1,1,-446.20,-0.24,-117434.60,-0.05,96.90,0.05,403.10,0.22
682,Exit Long,MomSE,2023-06-06 11:00,922.1,1,213.80,0.12,-116988.40,0.02,1716.90,0.93,283.10,0.15
682,Entry Long,MomLE,2023-06-02 10:30,920.6,1,213.80,0.12,-116988.40,0.02,1716.90,0.93,283.10,0.15
681,Exit Short,MomLE,2023-06-02 10:30,920.6,1,-1006.20,-0.55,-117202.20,-0.11,436.90,0.24,963.10,0.53
